name,width [GeV],ctau [mm],xsec[pb],uncertainty on xsec[pb]
HNL_mu_mN_3p5_coupling_0p01_13p6TeV,2.543992e-14,7.756587594722667,3.447,0.02471
HNL_mu_mN_4p0_coupling_0p01_13p6TeV,4.993229e-14,3.9518910084583956,3.441,0.02466
HNL_mu_mN_4p5_coupling_0p01_13p6TeV,9.112037e-14,2.165563725023692,3.438,0.0246
HNL_mu_mN_5p0_coupling_0p01_13p6TeV,1.554456e-13,1.2694278119338025,3.434,0.02461
HNL_mu_mN_5p5_coupling_0p01_13p6TeV,2.524866e-13,0.7815344175997342,3.426,0.02456
HNL_mu_mN_6p0_coupling_0p01_13p6TeV,3.918375e-13,0.5035938823689338,3.422,0.02444
HNL_mu_mN_6p5_coupling_0p01_13p6TeV,5.892191e-13,0.3348957423184976,3.415,0.0244
HNL_mu_mN_7p0_coupling_0p01_13p6TeV,8.558033e-13,0.23057514253887204,3.411,0.02435
HNL_mu_mN_7p5_coupling_0p01_13p6TeV,1.212819e-12,0.16270108555583074,3.403,0.02429
HNL_mu_mN_8p0_coupling_0p01_13p6TeV,1.682325e-12,0.11729420170462727,3.394,0.02422
HNL_mu_mN_8p5_coupling_0p01_13p6TeV,2.287016e-12,0.08628141118502759,3.389,0.02414
HNL_mu_mN_9p0_coupling_0p01_13p6TeV,3.056709e-12,0.0645553658796886,3.381,0.02414
HNL_mu_mN_9p5_coupling_0p01_13p6TeV,4.02787e-12,0.04899040134928313,3.373,0.02399
HNL_mu_mN_10p0_coupling_0p01_13p6TeV,5.225052e-12,0.03776555101896346,3.367,0.02393
HNL_tau_mN_1p0_coupling_0p01_13p6TeV,1.311606e-17,15044.6832267264,3.453,0.02476
HNL_tau_mN_1p5_coupling_0p01_13p6TeV,9.95665e-17,1981.8610464637914,3.452,0.02477
HNL_tau_mN_2p0_coupling_0p01_13p6TeV,4.188926e-16,471.06816373155567,3.45,0.02473
HNL_tau_mN_2p5_coupling_0p01_13p6TeV,1.336562e-15,147.63772117023908,3.449,0.0247
HNL_tau_mN_3p0_coupling_0p01_13p6TeV,3.819529e-15,51.66264423774163,3.444,0.02466
HNL_tau_mN_3p5_coupling_0p01_13p6TeV,9.83249e-15,20.068870436963277,3.441,0.02471
HNL_tau_mN_4p0_coupling_0p01_13p6TeV,2.251868e-14,8.762812379888034,3.44,0.02466
HNL_tau_mN_4p5_coupling_0p01_13p6TeV,4.662889e-14,4.2318607173093135,3.434,0.02455
HNL_tau_mN_5p0_coupling_0p01_13p6TeV,8.85966e-14,2.227252150564887,3.428,0.02453
HNL_tau_mN_5p5_coupling_0p01_13p6TeV,1.56498e-13,1.2608913077658312,3.423,0.02448
HNL_tau_mN_6p0_coupling_0p01_13p6TeV,2.595839e-13,0.7601664351399954,3.418,0.02442
HNL_tau_mN_6p5_coupling_0p01_13p6TeV,4.115507e-13,0.47947183149667116,3.413,0.02436
HNL_tau_mN_7p0_coupling_0p01_13p6TeV,6.25722e-13,0.3153588460733953,3.405,0.0243
HNL_tau_mN_7p5_coupling_0p01_13p6TeV,9.225234e-13,0.2138991464961616,3.4,0.02424
HNL_tau_mN_8p0_coupling_0p01_13p6TeV,1.323504e-12,0.14909434945624422,3.391,0.02418
HNL_tau_mN_8p5_coupling_0p01_13p6TeV,1.844333e-12,0.10699096523390139,3.387,0.02412
HNL_tau_mN_9p0_coupling_0p01_13p6TeV,2.518489e-12,0.07835133204184615,3.382,0.02402
HNL_tau_mN_9p5_coupling_0p01_13p6TeV,3.372619e-12,0.058508526424934766,3.37,0.02392
HNL_tau_mN_10p0_coupling_0p01_13p6TeV,4.447062e-12,0.04437243462824154,3.361,0.02382
